Spot Move(%),scenario,S_0,S_t,put_long_iv_0,Change_in_put_long_iv (%),put_long_iv_t,put_short_iv_0,Change_in_put_short_iv (%),put_short_iv_t,call_iv_0,Change_in_call_iv (%),call_iv_t,V_p_long_0,Change_in_put_long_price (%),V_p_long_t,V_p_short_0,Change_in_put_short_price (%),V_p_short_t,V_c_0,Change_in_call_price (%),V_c_t,pnl_dollars,pnl_percentage,avg_pnl_for_spot_move
15.0,vol_collapse,543.37,624.88,0.3903,-32.0,0.2654,0.3233,-25.0,0.2425,0.2109,-9.0,0.192,4.425,-100.0,0.0,8.475,-100.0,0.0,4.225,1182.8066,54.1986,5192469.7,1282.09,"5,192,606.64"
15.0,normal_decline,543.37,624.88,0.3903,-22.0,0.3044,0.3233,-17.0,0.2683,0.2109,-6.0,0.1983,4.425,-100.0,0.0,8.475,-100.0,0.0,4.225,1182.824,54.1993,5192539.73,1282.11,"5,192,606.64"
15.0,mixed_regime,543.37,624.88,0.3903,-13.0,0.3395,0.3233,-10.0,0.291,0.2109,-3.0,0.2046,4.425,-100.0,0.0,8.475,-100.0,0.0,4.225,1182.8489,54.2004,5192640.49,1282.13,"5,192,606.64"
15.0,persistent_vol,543.37,624.88,0.3903,-6.0,0.3669,0.3233,-4.0,0.3104,0.2109,0.0,0.2109,4.425,-100.0,0.0,8.475,-99.9998,0.0,4.225,1182.8829,54.2018,5192776.63,1282.17,"5,192,606.64"
10.0,vol_collapse,543.37,597.71,0.3903,-26.0,0.2888,0.3233,-18.0,0.2651,0.2109,-7.0,0.1962,4.425,-100.0,0.0,8.475,-99.9985,0.0001,4.225,546.6878,27.3226,2617733.95,646.35,"2,624,383.92"
10.0,normal_decline,543.37,597.71,0.3903,-18.0,0.32,0.3233,-13.0,0.2813,0.2109,-5.0,0.2004,4.425,-99.9999,0.0,8.475,-99.9955,0.0004,4.225,547.4504,27.3548,2620796.05,647.11,"2,624,383.92"
10.0,mixed_regime,543.37,597.71,0.3903,-10.0,0.3512,0.3233,-7.0,0.3007,0.2109,-2.0,0.2067,4.425,-99.999,0.0,8.475,-99.9868,0.0011,4.225,548.7154,27.4082,2625846.56,648.36,"2,624,383.92"
10.0,persistent_vol,543.37,597.71,0.3903,-4.0,0.3747,0.3233,-2.0,0.3168,0.2109,2.0,0.2152,4.425,-99.9963,0.0002,8.475,-99.9718,0.0024,4.225,550.5506,27.4858,2633159.1,650.16,"2,624,383.92"
5.0,vol_collapse,543.37,570.54,0.3903,-18.0,0.32,0.3233,-12.0,0.2845,0.2109,-5.0,0.2004,4.425,-99.9854,0.0006,8.475,-99.5889,0.0348,4.225,48.028,6.2542,595977.3,147.15,"616,081.91"
5.0,normal_decline,543.37,570.54,0.3903,-10.0,0.3512,0.3233,-7.0,0.3007,0.2109,-3.0,0.2046,4.425,-99.9402,0.0026,8.475,-99.3348,0.0564,4.225,51.1752,6.3872,606761.64,149.82,"616,081.91"
5.0,mixed_regime,543.37,570.54,0.3903,-2.0,0.3825,0.3233,0.0,0.3233,0.2109,0.0,0.2109,4.425,-99.8189,0.008,8.475,-98.8131,0.1006,4.225,55.8959,6.5866,621984.91,153.58,"616,081.91"
5.0,persistent_vol,543.37,570.54,0.3903,5.0,0.4098,0.3233,3.0,0.333,0.2109,3.0,0.2173,4.425,-99.6012,0.0176,8.475,-98.5239,0.1251,4.225,60.6165,6.786,639603.8,157.93,"616,081.91"
2.5,vol_collapse,543.37,556.95,0.3903,-7.0,0.363,0.3233,-5.0,0.3071,0.2109,-2.0,0.2067,4.425,-99.4951,0.0223,8.475,-96.2508,0.3177,4.225,-57.9574,1.7763,140874.52,34.78,"144,823.31"
2.5,normal_decline,543.37,556.95,0.3903,-3.0,0.3786,0.3233,-2.0,0.3168,0.2109,-1.0,0.2088,4.425,-99.235,0.0338,8.475,-95.5564,0.3766,4.225,-56.8585,1.8227,140588.13,34.71,"144,823.31"
2.5,mixed_regime,543.37,556.95,0.3903,6.0,0.4137,0.3233,4.0,0.3362,0.2109,2.0,0.2152,4.425,-98.3091,0.0748,8.475,-93.9743,0.5107,4.225,-53.564,1.9619,144611.76,35.71,"144,823.31"
2.5,persistent_vol,543.37,556.95,0.3903,10.0,0.4293,0.3233,7.0,0.3459,0.2109,5.0,0.2215,4.425,-97.7125,0.1012,8.475,-93.0699,0.5873,4.225,-50.1963,2.1042,153218.83,37.83,"144,823.31"
0.0,vol_collapse,543.37,543.37,0.3903,-3.0,0.3786,0.3233,-2.0,0.3168,0.2109,-2.0,0.2067,4.425,-96.8503,0.1394,8.475,-84.3338,1.3277,4.225,-93.3022,0.283,-91477.94,-22.59,"-101,687.82"
0.0,normal_decline,543.37,543.37,0.3903,0.0,0.3903,0.3233,0.0,0.3233,0.2109,0.0,0.2109,4.425,-96.1007,0.1725,8.475,-83.2255,1.4216,4.225,-92.5791,0.3135,-94627.36,-23.36,"-101,687.82"
0.0,mixed_regime,543.37,543.37,0.3903,7.0,0.4176,0.3233,5.0,0.3394,0.2109,3.0,0.2173,4.425,-93.9327,0.2685,8.475,-80.3026,1.6694,4.225,-91.4109,0.3629,-105077.09,-25.94,"-101,687.82"
0.0,persistent_vol,543.37,543.37,0.3903,13.0,0.441,0.3233,10.0,0.3556,0.2109,6.0,0.2236,4.425,-91.549,0.374,8.475,-77.2072,1.9317,4.225,-90.1277,0.4171,-115568.89,-28.54,"-101,687.82"
